queue->push(3121, 948);2100; ns
queue->push(1691, 949);2000; ns
queue->push(18467, 950);2400; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(17076, 955);2300; ns
queue->pop();2100; ns
queue->push(17030, 957);2000; ns
queue->push(6989, 958);3000; ns
queue->pop();2300; ns
queue->pop();2000; ns
queue->push(18883, 961);1500; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(12927, 964);2300; ns
queue->push(9426, 965);2200; ns
queue->peek();1200; ns
queue->push(6171, 967);3200; ns
queue->pop();2300; ns
queue->push(12089, 969);2600; ns
queue->push(4726, 970);3200; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->push(19021, 973);1500; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->pop();2200; ns
queue->pop();18700; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->push(28155, 981);1500; ns
queue->peek();1100; ns
queue->push(23384, 983);1300; ns
queue->push(23995, 984);1400; ns
queue->push(3828, 985);2400; ns
queue->pop();2300; ns
queue->push(14178, 987);2300; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->peek();1200; ns
queue->push(6607, 991);2300; ns
queue->push(9573, 992);3400; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->push(6620, 996);2300; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(26705, 1002);1400; ns
queue->pop();2300; ns
queue->pop();23000; ns
queue->peek();1200; ns
queue->push(11600, 1006);3300; ns
queue->push(5849, 1007);3200; ns
queue->push(22011, 1008);3600; ns
queue->pop();2300; ns
queue->peek();1200; ns
queue->push(31049, 1011);1500; ns
queue->push(31450, 1012);1400; ns
queue->peek();1100; ns
queue->push(28517, 1014);1400; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1200; ns
queue->push(7413, 1018);2400; ns
queue->pop();2400; ns
queue->pop();2100; ns
